Port,TCP,UDP,Description,IANA status[1]
5500,Yes,,VNC Remote Frame Buffer RFB protocol—for incoming listening viewer,Unofficial
5501,Yes,,Hotline file transfer connection,Unofficial
5517,Yes,,Setiqueue Proxy server client for SETI@Home project,Unofficial
5550,Yes,,Hewlett-Packard Data Protector[citation needed],Unofficial
5554,Yes,Yes,Fastboot default wireless port,Unofficial
5555,Yes,Yes,Oracle WebCenter Content: Inbound Refinery—Intradoc Socket port. (formerly known as Oracle Universal Content Management). Port though often changed during installation,Unofficial
5555,Yes,,"Freeciv versions up to 2.0, Hewlett-Packard Data Protector, McAfee EndPoint Encryption Database Server, SAP, Default for Microsoft Dynamics CRM 4.0, Softether VPN default port",Unofficial
5556,Yes,Yes,"Freeciv, Oracle WebLogic Server Node Manager[212]",Official
5568,Yes,Yes,"Session Data Transport (SDT), a part of Architecture for Control Networks (ACN)[213][full citation needed]",Official
5601,Yes,,Kibana[citation needed],Unofficial
5631,Yes,,"pcANYWHEREdata, Symantec pcAnywhere (version 7.52 and later[214])[215] data",Official
5632,,Yes,"pcANYWHEREstat, Symantec pcAnywhere (version 7.52 and later) status",Official
5656,Yes,,IBM Lotus Sametime p2p file transfer,Unofficial
5666,Yes,,NRPE (Nagios),Unofficial
5667,Yes,,NSCA (Nagios),Unofficial
5670,Yes,,FILEMQ ZeroMQ File Message Queuing Protocol,Official
5670,,Yes,ZRE-DISC ZeroMQ Realtime Exchange Protocol (Discovery),Official
5671,Yes,Assigned,Advanced Message Queuing Protocol (AMQP)[216] over TLS,Official
5672,"Yes, and SCTP",Assigned,Advanced Message Queuing Protocol (AMQP)[216],Official
5678,,Yes,Mikrotik RouterOS Neighbor Discovery Protocol (MNDP),Unofficial
5683,,Yes,Constrained Application Protocol (CoAP),Official
5701,Yes,,Hazelcast default communication port[217],Unofficial
5722,Yes,Yes,"Microsoft RPC, DFSR (SYSVOL) Replication Service[citation needed]",Official
5718,Yes,,Microsoft DPM Data Channel (with the agent coordinator),Unofficial
5719,Yes,,Microsoft DPM Data Channel (with the protection agent),Unofficial
5723,Yes,,System Center Operations Manager[218],Unofficial
5724,Yes,,Operations Manager Console,Unofficial
5741,Yes,Yes,IDA Discover Port 1,Official
5742,Yes,Yes,IDA Discover Port 2,Official
5800,Yes,,VNC Remote Frame Buffer RFB protocol over HTTP,Unofficial
5800,Yes,,ProjectWise Server[219],Unofficial
5900,Yes,Yes,Remote Frame Buffer protocol (RFB),Official
5900,Yes,,Virtual Network Computing (VNC) Remote Frame Buffer RFB protocol[10][220],Unofficial
5931,Yes,Yes,AMMYY admin Remote Control,Official
5938,Yes,Yes,TeamViewer remote desktop protocol[221],Unofficial
5984,Yes,Yes,CouchDB database server,Official
5985,Yes,,Windows PowerShell Default psSession Port[222],Official
5986,Yes,,Windows PowerShell Default psSession Port[222],Official
5988–5989,Yes,,CIM-XML (DMTF Protocol)[223],Official
6000-6063,Yes,Yes,X11—used between an X client and server over the network,Official
6005,Yes,,Default for BMC Software Control-M/Server—Socket used for communication between Control-M processes—though often changed during installation,Unofficial
6005,Yes,,Default for Camfrog chat & cam client,Unofficial
6009,Yes,,JD Edwards EnterpriseOne ERP system JDENet messaging client listener,Unofficial
6050,Yes,,Arcserve backup,Unofficial
6051,Yes,,Arcserve backup,Unofficial
6086,Yes,,"Peer Distributed Transfer Protocol (PDTP), FTP like file server in a P2P network",Official
6100,Yes,,Vizrt System,Unofficial
6100,Yes,,Ventrilo authentication for version 3,Unofficial
6101,Yes,,Backup Exec Agent Browser[citation needed],Unofficial
6110,Yes,Yes,"softcm, HP Softbench CM",Official
6111,Yes,Yes,"spc, HP Softbench Sub-Process Control",Official
6112,Yes,Yes,"dtspcd, execute commands and launch applications remotely",Official
6112,Yes,Yes,"Blizzard's Battle.net gaming service and some games,[119] ArenaNet gaming service, Relic gaming service",Unofficial
6112,Yes,,Club Penguin Disney online game for kids,Unofficial
6113,Yes,,"Club Penguin Disney online game for kids, Used by some Blizzard games[119]",Unofficial
6136,Yes,,ObjectDB database server[224],Unofficial
6159,Yes,,ARINC 840 EFB Application Control Interface,Official
6200,Yes,,Oracle WebCenter Content Portable: Content Server (With Native UI) and Inbound Refinery,Unofficial
6201,Yes,,Oracle WebCenter Content Portable: Admin,Unofficial
6225,Yes,,Oracle WebCenter Content Portable: Content Server Web UI,Unofficial
6227,Yes,,Oracle WebCenter Content Portable: JavaDB,Unofficial
6240,Yes,,Oracle WebCenter Content Portable: Capture,Unofficial
6244,Yes,Yes,Oracle WebCenter Content Portable: Content Server—Intradoc Socket port,Unofficial
6255,Yes,Yes,Oracle WebCenter Content Portable: Inbound Refinery—Intradoc Socket port,Unofficial
6257,,Yes,WinMX (see also 6699),Unofficial
6260,Yes,Yes,planet M.U.L.E.,Unofficial
6262,Yes,,Sybase Advantage Database Server,Unofficial
6343,,Yes,"SFlow, sFlow traffic monitoring",Official
6346,Yes,Yes,"gnutella-svc, gnutella (FrostWire, Limewire, Shareaza, etc.)",Official
6347,Yes,Yes,"gnutella-rtr, Gnutella alternate",Official
6350,Yes,Yes,App Discovery and Access Protocol,Official
6379,Yes,,Redis key-value data store,Official
6389,Yes,,EMC CLARiiON,Unofficial
6432,Yes,,PgBouncer—A connection pooler for PostgreSQL,Official
6436,Yes,,Leap Motion Websocket Server TLS,Unofficial
6437,Yes,,Leap Motion Websocket Server,Unofficial
6444,Yes,Yes,Sun Grid Engine Qmaster Service,Official
6445,Yes,Yes,Sun Grid Engine Execution Service,Official
6463–6472,Yes,,Discord RPC[225],Unofficial
6464,Yes,Yes,Port assignment for medical device communication in accordance to IEEE 11073-20701,Official
6502,Yes,Yes,Netop Remote Control,Unofficial
6513,Yes,,NETCONF over TLS,Official
6514,Yes,,Syslog over TLS[226],Official
6515,Yes,Yes,Elipse RPC Protocol (REC),Official
6543,Yes,,Pylons project#Pyramid Default Pylons Pyramid web service port,Unofficial
6556,Yes,,Check MK Agent,Unofficial
6566,Yes,,SANE (Scanner Access Now Easy)—SANE network scanner daemon[227],Official
6560–6561,Yes,,Speech-Dispatcher daemon[citation needed],Unofficial
6571,,,Windows Live FolderShare client,Unofficial
6600,Yes,,Microsoft Hyper-V Live,Official
6600,Yes,,Music Player Daemon (MPD),Unofficial
6601,Yes,,Microsoft Forefront Threat Management Gateway,Official
6602,Yes,,Microsoft Windows WSS Communication,Official
6619,Yes,Yes,"odette-ftps, Odette File Transfer Protocol (OFTP) over TLS/SSL",Official
6622,Yes,Yes,Multicast FTP,Official
6653,Yes,Assigned,OpenFlow[citation needed],Official
6660–6664,Yes,,Internet Relay Chat (IRC),Unofficial
6665–6669,Yes,,Internet Relay Chat (IRC),Official
6679,Yes,Yes,Osorno Automation Protocol (OSAUT),Official
6679,Yes,,IRC SSL (Secure Internet Relay Chat)—often used,Unofficial
6690,Yes,,Synology Cloud station,Unofficial
6697,Yes,,IRC SSL (Secure Internet Relay Chat)—often used,Official
6699,Yes,,WinMX (see also 6257),Unofficial
6715,Yes,,AberMUD and derivatives default port,Unofficial
6771,,Yes,BitTorrent Local Peer Discovery,Unofficial
6783–6785,Yes,,Splashtop Remote server broadcast,Unofficial
6789,Yes,,Campbell Scientific Loggernet Software[228],Unofficial
6789,Yes,,Bucky's Instant Messaging Program,Unofficial
6869,Yes,,Derandom default server,Unofficial
6881–6887,Yes,Yes,BitTorrent part of full range of ports used most often,Unofficial
6888,Yes,Yes,MUSE,Official
6888,Yes,Yes,BitTorrent part of full range of ports used most often,Unofficial
6889–6890,Yes,Yes,BitTorrent part of full range of ports used most often,Unofficial
6891–6900,Yes,Yes,BitTorrent part of full range of ports used most often,Unofficial
6891–6900,Yes,Yes,Windows Live Messenger (File transfer),Unofficial
6901,Yes,Yes,Windows Live Messenger (Voice),Unofficial
6901,Yes,Yes,BitTorrent part of full range of ports used most often,Unofficial
6902–6968,Yes,Yes,BitTorrent part of full range of ports used most often,Unofficial
6969,Yes,Yes,acmsoda,Official
6969,Yes,,BitTorrent tracker,Unofficial
6970–6999,Yes,Yes,BitTorrent part of full range of ports used most often,Unofficial
6970–6999,,Yes,QuickTime Streaming Server[10],Unofficial
7000,Yes,,Default for Vuze's built-in HTTPS Bittorrent Tracker,Unofficial
7000,Yes,,Avira Server Management Console,Unofficial
7001,Yes,,Avira Server Management Console,Unofficial
7001,Yes,,"Default for BEA WebLogic Server's HTTP server, though often changed during installation",Unofficial
7002,Yes,,"Default for BEA WebLogic Server's HTTPS server, though often changed during installation",Unofficial
7005,Yes,,"Default for BMC Software Control-M/Server and Control-M/Agent for Agent-to-Server, though often changed during installation",Unofficial
7006,Yes,,"Default for BMC Software Control-M/Server and Control-M/Agent for Server-to-Agent, though often changed during installation",Unofficial
7010,Yes,,Default for Cisco AON AMC (AON Management Console)[229],Unofficial
7022,Yes,,Database mirroring endpoints[230],Unofficial
7023,,Yes,Bryan Wilcutt T2-NMCS Protocol for SatCom Modems,Official
7025,Yes,,Zimbra LMTP [mailbox]—local mail delivery,Unofficial
7047,Yes,,Zimbra conversion server,Unofficial
7070,Yes,Yes/No,"Real Time Streaming Protocol (RTSP), used by QuickTime Streaming Server. TCP is used by default, UDP is used as an alternate.[10]",Unofficial
7133,Yes,,Enemy Territory: Quake Wars,Unofficial
7144,Yes,,Peercast[citation needed],Unofficial
7145,Yes,,Peercast[citation needed],Unofficial
7171,Yes,,Tibia,Unofficial
7262,Yes,Yes,CNAP (Calypso Network Access Protocol),Official
7272,Yes,Yes,WatchMe - WatchMe Monitoring,Official
7306,Yes,,Zimbra mysql [mailbox][citation needed],Unofficial
7307,Yes,,Zimbra mysql [logger][citation needed],Unofficial
7312,,Yes,Sibelius License Server,Unofficial
7396,Yes,,Web control interface for Folding@home v7.3.6 and later[231],Unofficial
7400,Yes,Yes,RTPS (Real Time Publish Subscribe) DDS Discovery,Official
7401,Yes,Yes,RTPS (Real Time Publish Subscribe) DDS User-Traffic,Official
7402,Yes,Yes,RTPS (Real Time Publish Subscribe) DDS Meta-Traffic,Official
7471,Yes,,Stateless Transport Tunneling (STT),Unofficial
7473,Yes,,Rise: The Vieneo Province,Official
7474,Yes,,Neo4J Server webadmin[232],Official
7478,Yes,,Default port used by Open iT Server.[233],Official
7542,Yes,Yes,Saratoga file transfer protocol[234][235],Official
7547,Yes,Yes,CPE WAN Management Protocol (CWMP) Technical Report 069,Official
7575,,Yes,Populous: The Beginning server,Unofficial
7624,Yes,Yes,Instrument Neutral Distributed Interface,Official
7631,Yes,,ERLPhase,Official
7634,Yes,,hddtemp—Utility to monitor hard drive temperature,Unofficial
7652–7654,Yes,,I2P anonymizing overlay network,Unofficial
7655,,Yes,I2P SAM Bridge Socket API,Unofficial
7656–7660,Yes,,I2P anonymizing overlay network,Unofficial
7670,Yes,,BrettspielWelt BSW Boardgame Portal,Unofficial
7687,Yes,,Bolt database connection,Official
7707–7708,,Yes,Killing Floor,Unofficial
7717,,Yes,Killing Floor,Unofficial
7777,Yes,,iChat server file transfer proxy[10],Unofficial
7777,Yes,,Oracle Cluster File System 2[citation needed],Unofficial
7777,Yes,,Windows backdoor program tini.exe default[citation needed],Unofficial
7777,Yes,,Just Cause 2: Multiplayer Mod Server[citation needed],Unofficial
7777,Yes,,Terraria default server,Unofficial
7777,,Yes,San Andreas Multiplayer (SA-MP) default port server,Unofficial
7777–7788,Yes,Yes,Unreal Tournament series default server[citation needed],Unofficial
7831,Yes,,Default used by Smartlaunch Internet Cafe Administration[236] software,Unofficial
7880,Yes,Yes,PowerSchool Gradebook Server[citation needed],Unofficial
7890,Yes,,Default that will be used by the iControl Internet Cafe Suite Administration software,Unofficial
7915,Yes,,Default for YSFlight server[237],Unofficial
7935,Yes,,"Fixed port used for Adobe Flash Debug Player to communicate with a debugger (Flash IDE, Flex Builder or fdb).[238]",Unofficial
7946,Yes,Yes,Docker Swarm communication among nodes[151],Unofficial
7990,Yes,,Atlassian Bitbucket (default port)[citation needed],Unofficial
8000,Yes,,"Commonly used for Internet radio streams such as SHOUTcast[citation needed], Icecast[citation needed] and iTunes Radio[10]",Unofficial
8000,?,?,DynamoDB Local[239],Unofficial
8000,?,?,Django Development Webserver[240],Unofficial
8005,Yes,,Tomcat remote shutdown[10],Unofficial
8006,Yes,,Quest AppAssure 5 API[241],Unofficial
8007,Yes,,Quest AppAssure 5 Engine[241],Unofficial
8008,Yes,Yes,Alternative port for HTTP. See also ports 80 and 8080.,Official
8008,Yes,,IBM HTTP Server administration default[importance?],Unofficial
8008,Yes,,"iCal, a calendar application by Apple[10]",Unofficial
8009,Yes,,Apache JServ Protocol (ajp13)[citation needed],Unofficial
8010,Yes,?,Buildbot Web status page[citation needed],Unofficial
8042,?,?,Orthanc – REST API over HTTP[180],Unofficial
8069,Yes,,OpenERP 5.0 XML-RPC protocol[242],Unofficial
8070,Yes,,OpenERP 5.0 NET-RPC protocol[242],Unofficial
8074,Yes,Yes,Gadu-Gadu,Official
8075,Yes,,Killing Floor web administration interface[citation needed],Unofficial
8080,Yes,Yes,Alternative port for HTTP. See also ports 80 and 8008.,Official
8080,Yes,,Apache Tomcat[243],Unofficial
8080,Yes,,Atlassian JIRA applications[244],Unofficial
8088,Yes,,Asterisk management access via HTTP[citation needed],Unofficial
8089,Yes,No,Splunk daemon management[245],Unofficial
8089,Yes,,Fritz!Box automatic TR-069 configuration[246],Unofficial
8090,?,?,Atlassian Confluence[247],Unofficial
8090,Yes,,Coral Content Distribution Network (legacy; 80 and 8080 now supported)[248],Unofficial
8091,?,?,CouchBase web administration[249],Unofficial
8092,?,?,CouchBase API[249],Unofficial
8111,Yes,,JOSM Remote Control,Unofficial
8112,Yes,,PAC Pacifica Coin,Unofficial
8116,,Yes,Check Point Cluster Control Protocol,Unofficial
8118,Yes,,Privoxy—advertisement-filtering Web proxy,Official
8123,Yes,,Polipo Web proxy,Official
8139,Yes,,Puppet (software) Client agent,Unofficial
8140,Yes,,Puppet (software) Master server,Official
8172,Yes,,Microsoft Remote Administration for IIS Manager[250],Unofficial
8184,Yes,,NCSA Brown Dog Data Access Proxy,Unofficial
8194–8195,?,?,Bloomberg Terminal[251],Official
8200,Yes,,GoToMyPC,Unofficial
8200,Yes,,MiniDLNA media server Web Interface,Unofficial
8222,?,?,VMware VI Web Access via HTTP[252],Unofficial
8243,Yes,Yes,HTTPS listener for Apache Synapse[253],Official
8245,Yes,,Dynamic DNS for at least No-IP and DyDNS[254],Unofficial
8280,Yes,Yes,HTTP listener for Apache Synapse[253],Official
8281,Yes,,HTTP Listener for Gatecraft Plugin,Unofficial
8291,Yes,,Winbox—Default on a MikroTik RouterOS for a Windows application used to administer MikroTik RouterOS[255],Unofficial
8303,,Yes,Teeworlds Server,Unofficial
8332,Yes,,Bitcoin JSON-RPC server[256],Unofficial
8333,Yes,,Bitcoin[257],Unofficial
8333,?,?,VMware VI Web Access via HTTPS[252],Unofficial
8337,Yes,,VisualSVN Distributed File System Service (VDFS)[258],Unofficial
8384,Yes,,Syncthing web GUI,Unofficial
8388,Yes,,Shadowsocks proxy server[citation needed],Unofficial
8443,Yes,,SW Soft Plesk Control Panel,Unofficial
8443,Yes,,Apache Tomcat SSL,Unofficial
8443,Yes,,Promise WebPAM SSL,Unofficial
8443,Yes,,iCal over SSL[10],Unofficial
8444,Yes,,Bitmessage,Unofficial
8484,Yes,,MapleStory Login Server,Unofficial
8500,Yes,,Adobe ColdFusion built-in web server[259],Unofficial
8530,?,?,Windows Server Update Services over HTTP[260][further explanation needed][261],Unofficial
8531,?,?,Windows Server Update Services over HTTPS[261][further explanation needed][260],Unofficial
8580,?,?,"Freegate, an Internet anonymizer and proxy tool[262]",Unofficial
8629,Yes,,Tibero database[citation needed],Unofficial
8642,Yes,,Lotus Notes Traveler auto synchronization for Windows Mobile and Nokia devices[263],Unofficial
8691,Yes,,"Ultra Fractal, a fractal generation and rendering software application – distributed calculations over networked computers[264][265]",Unofficial
8765,?,?,Default port of a local GUN relay peer that the Internet Archive[266] and others use as a decentralized mirror for censorship resistance.[267][importance?],Unofficial
8767,,Yes,"Voice channel of TeamSpeak 2,[268] a proprietary Voice over IP protocol targeted at gamers[citation needed]",Unofficial
8834,?,?,"Nessus, a vulnerability scanner – remote XML-RPC web server[269][third-party source needed]",Unofficial
8840,?,?,"Opera Unite, an extensible framework for web applications[270][271]",Unofficial
8880,Yes,,"Alternate port of CDDB (Compact Disc Database) protocol, used to look up audio CD (compact disc) information over the Internet.[272] See also port 888.",Official
8880,?,?,IBM WebSphere Application Server SOAP connector[273][jargon],Unofficial
8883,Yes,Yes,Secure MQTT (MQTT over TLS)[274][275],Official
8887,?,?,HyperVM over HTTP[citation needed],Unofficial
8888,?,?,HyperVM over HTTPS[citation needed],Unofficial
8888,?,Yes,Freenet web UI (localhost only)[citation needed],Unofficial
8888,?,?,Default for IPython[276] / Jupyter[277] notebook dashboards,Unofficial
8888,?,?,MAMP[278],Unofficial
8889,?,?,MAMP[278],Unofficial
8983,?,?,Apache Solr[279],Unofficial
8997,?,?,Alternate port for I2P Monotone Proxy[160][jargon],Unofficial
8998,?,?,I2P Monotone Proxy[160][jargon],Unofficial
8999,?,?,Alternate port for I2P Monotone Proxy[160][jargon],Unofficial
9000,Yes,,SonarQube Web Server[280],Unofficial
9000,Yes,,DBGp,Unofficial
9000,Yes,,SqueezeCenter web server & streaming,Unofficial
9000,,Yes,UDPCast,Unofficial
9000,Yes,,Play! Framework web server[281],Unofficial
9000,Yes,,Hadoop NameNode default port,Unofficial
9000,Yes,,PHP-FPM default port,Unofficial
9000,Yes,,QBittorrent's embedded torrent tracker default port[282],Unofficial
9001,Yes,Yes,ETL Service Manager[283],Official
9001,,,Microsoft SharePoint authoring environment,Unofficial
9001,,,cisco-xremote router configuration[citation needed],Unofficial
9001,,,Tor network default,Unofficial
9001,Yes,,DBGp Proxy,Unofficial
9001,Yes,,HSQLDB default port,Unofficial
9002,,,Newforma Server comms,Unofficial
9006,,,De-Commissioned Port,Official
9006,Yes,,Tomcat in standalone mode[10],Unofficial
9030,Yes,,Tor often used,Unofficial
9042,Yes,,Apache Cassandra native protocol clients,Unofficial
9043,Yes,,WebSphere Application Server Administration Console secure,Unofficial
9050–9051,Yes,,Tor,Unofficial
9060,Yes,,WebSphere Application Server Administration Console,Unofficial
9080,Yes,Yes,"glrpc, Groove Collaboration software GLRPC",Official
9080,Yes,,WebSphere Application Server HTTP Transport (port 1) default,Unofficial
9080,Yes,,"Remote Potato by FatAttitude, Windows Media Center addon",Unofficial
9080,Yes,,"ServerWMC, Windows Media Center addon",Unofficial
9090,Yes,,Openfire Administration Console,Unofficial
9090,Yes,,SqueezeCenter control (CLI),Unofficial
9090,Yes,,Cherokee Admin Panel,Unofficial
9091,Yes,,Openfire Administration Console (SSL Secured),Unofficial
9091,Yes,,Transmission (BitTorrent client) Web Interface,Unofficial
9092,Yes,,H2 (DBMS) Database Server,Unofficial
9092,Yes,,Apache Kafka A Distributed Streaming Platform[284],Unofficial
9100,Yes,Assigned,"PDL Data Stream, used for printing to certain network printers[10]",Official
9101,Yes,Yes,Bacula Director,Official
9102,Yes,Yes,Bacula File Daemon,Official
9103,Yes,Yes,Bacula Storage Daemon,Official
9119,Yes,Yes,MXit Instant Messenger,Official
9150,Yes,,Tor,Unofficial
9191,Yes,,Sierra Wireless Airlink,Unofficial
9199,Yes,,Avtex LLC—qStats,Unofficial
9200,Yes,,Elasticsearch[285]—default Elasticsearch port,Unofficial
9217,Yes,,iPass Platform Service,Unofficial
9293,Yes,,Sony PlayStation RemotePlay[286],Unofficial
9300,Yes,,IBM Cognos BI[citation needed],Unofficial
9303,,Yes,D-Link Shareport Share storage and MFP printers[citation needed],Unofficial
9306,Yes,,Sphinx Native API,Official
9309,Yes,Yes,Sony PlayStation Vita Host Collaboration WiFi Data Transfer[287],Unofficial
9312,Yes,,Sphinx SphinxQL,Official
9332,Yes,,Litecoin JSON-RPC server,Unofficial
9333,Yes,,Litecoin,Unofficial
9339,Yes,,"Clash of Clans, a mobile freemium strategy video game",Unofficial
9389,Yes,Yes,"adws, Microsoft AD DS Web Services, Powershell uses this port",Official
9418,Yes,Yes,"git, Git pack transfer service",Official
9419,Yes,,MooseFS distributed file system – master control port[288],Unofficial
9420,Yes,,MooseFS distributed file system – master command port[288],Unofficial
9421,Yes,,MooseFS distributed file system – master client port[288],Unofficial
9422,Yes,,MooseFS distributed file system – Chunkservers[288],Unofficial
9425,Yes,,MooseFS distributed file system – CGI server[288],Unofficial
9443,Yes,,VMware Websense Triton console (HTTPS port used for accessing and administrating a vCenter Server via the Web Management Interface),Unofficial
9443,Yes,,NCSA Brown Dog Data Tilling Service,Unofficial
9535,Yes,Yes,"mngsuite, LANDesk Management Suite Remote Control",Official
9536,Yes,Yes,"laes-bf, IP Fabrics Surveillance buffering function",Official
9600,No,Yes,"Factory Interface Network Service (FINS), a network protocol used by Omron programmable logic controllers[citation needed]",Unofficial
9675,Yes,Yes,"Spiceworks Desktop, IT Helpdesk Software",Unofficial
9676,Yes,Yes,"Spiceworks Desktop, IT Helpdesk Software",Unofficial
9695,?,?,"Content centric networking (CCN, CCNx)[citation needed]",Official
9785,Yes,Yes,Viber[182],Unofficial
9800,Yes,Yes,WebDAV Source,Official
9800,,,WebCT e-learning portal,Unofficial
9875,Yes,,Club Penguin Disney online game for kids,Unofficial
9898,Yes,,Tripwire—File Integrity Monitoring Software[289],Unofficial
9899,,Yes,"SCTP tunneling (port number used in SCTP packets encapsulated in UDP, RFC 6951)",Official
9981,Yes,,TVHeadend HTTP server (web interface)[290],Unofficial
9982,Yes,,TVHeadend HTSP server (Streaming protocol)[290],Unofficial
9987,,Yes,TeamSpeak 3 server default (voice) port (for the conflicting service see the IANA list),Unofficial
9993,,Yes,ZeroTier Default port for ZeroTier,Unofficial
9997,Yes,,Splunk port for communication between the forwarders and indexers,Unofficial
9999,,,Urchin Web Analytics[citation needed],Unofficial
10000,Yes,Yes,Network Data Management Protocol,Official
10000,,,BackupExec,Unofficial
10000,,,"Webmin, Web-based Unix/Linux system administration tool (default port)",Unofficial
10000–20000,No,Yes,Used on VoIP networks for receiving and transmitting voice telephony traffic which includes Google Voice via the OBiTalk ATA devices as well as on the MagicJack and Vonage ATA network devices.[291],Unofficial
10001,,Yes,Ubiquiti UniFi access points broadcast to 255.255.255.255:10001 (UDP) to locate the controller(s),Unofficial
10009,Yes,Yes,"CrossFire, a multiplayer online First Person Shooter[citation needed]",Unofficial
10010,Yes,,Open Object Rexx (ooRexx) rxapi daemon,Official
10024,Yes,,Zimbra smtp [mta]—to amavis from postfix[citation needed],Unofficial
10025,Yes,,Zimbra smtp [mta]—back to postfix from amavis[citation needed],Unofficial
10042,Yes,,Mathoid server[citation needed],Unofficial
10050,Yes,Yes,Zabbix agent,Official
10051,Yes,Yes,Zabbix trapper,Official
10080,Yes,,"Touhou fight games (Immaterial and Missing Power, Scarlet Weather Rhapsody, Hisoutensoku, Hopeless Masquerade and Urban Legend in Limbo)",Unofficial
10110,Yes,Yes,NMEA 0183 Navigational Data. Transport of NMEA 0183 sentences over TCP or UDP,Official
10172,Yes,,Intuit Quickbooks client,Unofficial
10200,Yes,,FRISK Software International's fpscand virus scanning daemon for Unix platforms[292],Unofficial
10200,Yes,,FRISK Software International's f-protd virus scanning daemon for Unix platforms[293],Unofficial
10201–10204,Yes,,FRISK Software International's f-protd virus scanning daemon for Unix platforms[293],Unofficial
10212,Yes,,GE Intelligent Platforms Proficy HMI/SCADA – CIMPLICITY WebView[294],Official
10308,?,?,Lock On: Modern Air Combat[citation needed],Unofficial
10480,?,?,SWAT 4 Dedicated Server[citation needed],Unofficial
10505,,Yes,BlueStacks (android simulator) broadcast[295],Unofficial
10514,Yes,Yes,TLS-enabled Rsyslog (default by convention),Unofficial
10823,,Yes,Farming Simulator 2011[citation needed],Unofficial
10891,Yes,,Jungle Disk (this port is opened by the Jungle Disk Monitor service on the localhost)[citation needed],Unofficial
10933,Yes,,Listen port used by the Octopus Deploy Tentacle deployment agent[296][297],Official
11001,Yes,Yes,metasys ( Johnson Controls Metasys java AC control environment ),Official
11111,Yes,,"RiCcI, Remote Configuration Interface (Redhat Linux)",Unofficial
11112,Yes,Yes,ACR/NEMA Digital Imaging and Communications in Medicine (DICOM),Official
11211,Yes,Yes,memcached[10],Unofficial
11214,Yes,Yes,memcached incoming SSL proxy,Unofficial
11215,Yes,Yes,memcached internal outgoing SSL proxy,Unofficial
11235,,,Savage: Battle for Newerth[citation needed],Unofficial
11311,Yes,Yes,Robot Operating System master,Unofficial
11371,Yes,Yes,OpenPGP HTTP key server,Official
11753,Yes,,OpenRCT2 multiplayer[298],Unofficial
12012,,Yes,"Audition Online Dance Battle, Korea Server—Status/Version Check",Unofficial
12013,Yes,Yes,"Audition Online Dance Battle, Korea Server",Unofficial
12035,,Yes,"Second Life, used for server UDP in-bound[299]",Unofficial
12043,Yes,,"Second Life, used for LSL HTTPS in-bound[300]",Unofficial
12046,Yes,,"Second Life, used for LSL HTTP in-bound[300]",Unofficial
12201,Yes,Yes,Graylog Extended Log Format (GELF)[301][importance?],Unofficial
12222,,Yes,Light Weight Access Point Protocol (LWAPP) LWAPP data (RFC 5412),Official
12223,,Yes,Light Weight Access Point Protocol (LWAPP) LWAPP control (RFC 5412),Official
12345,Yes,Yes,Cube World[302],Unofficial
12345,Yes,,Little Fighter 2,Unofficial
12345,,,NetBus remote administration tool (often Trojan horse).,Unofficial
12443,Yes,,IBM HMC web browser management access over HTTPS instead of default port 443[303],Unofficial
12489,Yes,,NSClient/NSClient++/NC_Net (Nagios),Unofficial
12975,Yes,,LogMeIn Hamachi (VPN tunnel software; also port 32976)—used to connect to Mediation Server (bibi.hamachi.cc); will attempt to use SSL (TCP port 443) if both 12975 & 32976 fail to connect,Unofficial
13000–13050,,Yes,"Second Life, used for server UDP in-bound[299]",Unofficial
13008,Yes,Yes,"CrossFire, a multiplayer online First Person Shooter[citation needed]",Unofficial
13075,Yes,,"Default[304] for BMC Software Control-M/Enterprise Manager Corba communication, though often changed during installation",Official
13720,Yes,Yes,Symantec NetBackup—bprd (formerly VERITAS),Official
13721,Yes,Yes,Symantec NetBackup—bpdbm (formerly VERITAS),Official
13724,Yes,Yes,Symantec Network Utility—vnetd (formerly VERITAS),Official
13782,Yes,Yes,Symantec NetBackup—bpcd (formerly VERITAS),Official
13783,Yes,Yes,Symantec VOPIED protocol (formerly VERITAS),Official
13785,Yes,Yes,Symantec NetBackup Database—nbdb (formerly VERITAS),Official
13786,Yes,Yes,Symantec nomdb (formerly VERITAS),Official
14550,,Yes,MAVLink Ground Station Port,Unofficial
14567,,Yes,Battlefield 1942 and mods,Unofficial
15000,Yes,,psyBNC,Unofficial
15000,Yes,,Wesnoth,Unofficial
15000,Yes,,Kaspersky Network Agent[citation needed],Unofficial
15441,?,?,ZeroNet fileserver[citation needed],Unofficial
15567,,Yes,Battlefield Vietnam and mods,Unofficial
15345,Yes,Yes,XPilot Contact,Official
15672,Yes,No,RabbitMQ management plugin[305],Unofficial
16000,Yes,,Oracle WebCenter Content: Imaging (formerly known as Oracle Universal Content Management). Port though often changed during installation,Unofficial
16000,Yes,,shroudBNC,Unofficial
16080,Yes,,Mac OS X Server Web (HTTP) service with performance cache[306],Unofficial
16200,Yes,,Oracle WebCenter Content: Content Server (formerly known as Oracle Universal Content Management). Port though often changed during installation,Unofficial
16225,Yes,,Oracle WebCenter Content: Content Server Web UI. Port though often changed during installation,Unofficial
16250,Yes,,Oracle WebCenter Content: Inbound Refinery (formerly known as Oracle Universal Content Management). Port though often changed during installation,Unofficial
16261,Yes,Yes,Project Zomboid multiplayer. Additional sequential ports used for each player connecting to server.[citation needed],Unofficial
